keyword;minimal_abbreviation;keyword_type
&BATCH-MODE;&BATCH;Preprocessor
&ELSE;;Preprocessor
&ELSEIF;;Preprocessor
&ENDIF;;Preprocessor
&FILE-NAME;;Preprocessor
&GLOBAL-DEFINE;&GLOB;Preprocessor
&IF;;Preprocessor
&LINE-NUMBER;&LINE-NUMBE;Preprocessor
&MESSAGE;;Preprocessor
&OPSYS;;Preprocessor
&PROCESS-ARCHITECTURE;;Preprocessor
&SCOPED-DEFINE;&SCOP;Preprocessor
&SEQUENCE;;Preprocessor
&THEN;;Preprocessor
&UNDEFINE;&UNDEF;Preprocessor
&WEBSTREAM;;Preprocessor
&WINDOW-SYSTEM;&WINDOW-SYS;Preprocessor
ACCELERATOR;;Attribute
ACCEPT-CHANGES;;Method
ACCEPT-ROW-CHANGES;;Method
ACTIVE;;Attribute
ACTOR;;Attribute
ADD-BUFFER;;Method
ADD-CALC-COLUMN;;Method
ADD-COLUMNS-FROM;;Method
ADD-EVENTS-PROCEDURE;;Method
ADD-FIELDS-FROM;;Method
ADD-FIRST;;Method
ADD-HEADER-ENTRY;;Method
ADD-INDEX-FIELD;;Method
ADD-LAST;;Method
ADD-LIKE-COLUMN;;Method
ADD-LIKE-FIELD;;Method
ADD-LIKE-INDEX;;Method
ADD-NEW-FIELD;;Method
ADD-NEW-INDEX;;Method
ADD-PARENT-ID-RELATION;;Method
ADD-RELATION;;Method
ADD-SCHEMA-LOCATION;;Method
ADD-SOURCE-BUFFER;;Method
ADD-SUPER-PROCEDURE;;Method
ADM-DATA;;Attribute
AFTER-BUFFER;;Attribute
AFTER-ROWID;;Attribute
AFTER-TABLE;;Attribute
ALLOW-COLUMN-SEARCHING;;Attribute
ALLOW-PREV-DESERIALIZATION;;Attribute
ALWAYS-ON-TOP;;Attribute
AMBIGUOUS;;Attribute
AND;;Operator
APPEND-CHILD;;Method
APPL-ALERT-BOXES;;Attribute
APPL-CONTEXT-ID;;Attribute
APPLY-CALLBACK;;Method
APPSERVER-INFO;;Attribute
APPSERVER-PASSWORD;;Attribute
APPSERVER-USERID;;Attribute
ASYNCHRONOUS;;Attribute
ASYNC-REQUEST-COUNT;;Attribute
ASYNC-REQUEST-HANDLE;;Attribute
ATTACH-DATA-SOURCE;;Method
ATTACHED-PAIRLIST;;Attribute
ATTRIBUTE-NAMES;;Attribute
ATTR-SPACE;;Attribute
AUDIT-EVENT-CONTEXT;;Attribute
AUTHENTICATION-FAILED;;Method
AUTO-COMPLETION;;Attribute
AUTO-DELETE;;Attribute
AUTO-DELETE-XML;;Attribute
AUTO-END-KEY;;Attribute
AUTO-GO;;Attribute
AUTO-INDENT;;Attribute
AUTO-RESIZE;;Attribute
AUTO-RETURN;;Attribute
AUTO-SYNCHRONIZE;;Attribute
AUTO-VALIDATE;;Attribute
AUTO-ZAP;;Attribute
AVAILABLE;;Attribute
AVAILABLE-FORMATS;;Attribute
BACKGROUND;;Attribute
BASE-ADE;;Attribute
BASIC-LOGGING;;Attribute
BATCH-MODE;;Attribute
BATCH-SIZE;;Attribute
BEFORE-BUFFER;;Attribute
BEFORE-ROWID;;Attribute
BEFORE-TABLE;;Attribute
BEGIN-EVENT-GROUP;;Method
BEGINS;;Operator
BGCOLOR;;Attribute
BLANK;;Attribute
BLOB;;DataType
BLOCK-ITERATION-DISPLAY;;Attribute
BORDER-BOTTOM-CHARS;;Attribute
BORDER-BOTTOM-PIXELS;;Attribute
BORDER-LEFT-CHARS;;Attribute
BORDER-LEFT-PIXELS;;Attribute
BORDER-RIGHT-CHARS;;Attribute
BORDER-RIGHT-PIXELS;;Attribute
BORDER-TOP-CHARS;;Attribute
BORDER-TOP-PIXELS;;Attribute
BOX;;Attribute
BOX-SELECTABLE;;Attribute
BUFFER;;DataType
BUFFER-CHARS;;Attribute
BUFFER-COMPARE;;Method
BUFFER-COPY;;Method
BUFFER-CREATE;;Method
BUFFER-DELETE;;Method
BUFFER-FIELD;;Attribute
BUFFER-FIELD;;Method
BUFFER-GROUP-ID;;Attribute
BUFFER-GROUP-NAME;;Attribute
BUFFER-HANDLE;;Attribute
BUFFER-LINES;;Attribute
BUFFER-NAME;;Attribute
BUFFER-PARTITION-ID;;Attribute
BUFFER-RELEASE;;Method
BUFFER-TENANT-ID;;Attribute
BUFFER-TENANT-NAME;;Attribute
BUFFER-VALIDATE;;Method
BUFFER-VALUE;;Method
BUTTON;;Widget
BYTE;;DataType
BYTES-READ;;Attribute
BYTES-WRITTEN;;Attribute
CACHE;;Attribute
CALL-NAME;;Attribute
CALL-TYPE;;Attribute
CANCEL-BREAK;;Method
CANCEL-BUTTON;;Attribute
CANCELLED;;Attribute
CANCEL-REQUESTS;;Method
CANCEL-REQUESTS-AFTER;;Method
CAN-CREATE;;Attribute
CAN-DELETE;;Attribute
CAN-DO-DOMAIN-SUPPORT;;Attribute
CAN-READ;;Attribute
CAN-WRITE;;Attribute
CAREFUL-PAINT;;Attribute
CASE-SENSITIVE;;Attribute
CENTERED;;Attribute
CHARACTER;CHAR;DataType
CHARSET;;Attribute
CHECKED;;Attribute
CHILD-BUFFER;;Attribute
CHILD-NUM;;Attribute
CLASS;;DataType
CLASS-TYPE;;Attribute
CLEAR;;Method
CLEAR-APPL-CONTEXT;;Method
CLEAR-LOG;;Method
CLEAR-SELECTION;;Method
